1053 Total Scenarios Tested.
974 Passed Scenarios (92.4976%)
79 Failed Scenarios (7.50237%)
---------
PASS: Zone B, inDir EAST , Links F-*B -- 
PASS: Zone B, inDir EAST , Links F-F* -- 
PASS: Zone B, inDir EAST , Links F-FF -- 
PASS: Zone B, inDir EAST , Links F-FB -- 
PASS: Zone B, inDir EAST , Links F-B* -- 
PASS: Zone B, inDir EAST , Links F-BF -- 
PASS: Zone B, inDir EAST , Links F-BB -- 
PASS: Zone B, inDir EAST , Links B-** -- 
PASS: Zone B, inDir EAST , Links B-*F -- 
PASS: Zone B, inDir EAST , Links B-*B -- 
PASS: Zone B, inDir EAST , Links B-F* -- 
PASS: Zone B, inDir EAST , Links B-FF -- 
PASS: Zone B, inDir EAST , Links B-FB -- 
PASS: Zone B, inDir EAST , Links B-B* -- 
PASS: Zone B, inDir EAST , Links B-BF -- 
PASS: Zone B, inDir EAST , Links B-BB -- 
PASS: Zone B, inDir WEST , Links *-** -- 
PASS: Zone B, inDir WEST , Links *-*F -- 
PASS: Zone B, inDir WEST , Links *-*B -- 
PASS: Zone B, inDir WEST , Links *-F* -- 
PASS: Zone B, inDir WEST , Links *-FF -- 
PASS: Zone B, inDir WEST , Links *-FB -- 
PASS: Zone B, inDir WEST , Links *-B* -- 
PASS: Zone B, inDir WEST , Links *-BF -- 
PASS: Zone B, inDir WEST , Links *-BB -- 
PASS: Zone B, inDir WEST , Links F-** -- 
PASS: Zone B, inDir WEST , Links F-*F -- 
FAIL: Zone B, inDir WEST , Links F-*B -- 
PASS: Zone B, inDir WEST , Links F-F* -- 
PASS: Zone B, inDir WEST , Links F-FF -- 
FAIL: Zone B, inDir WEST , Links F-FB -- 
PASS: Zone B, inDir WEST , Links F-B* -- 
PASS: Zone B, inDir WEST , Links F-BF -- 
FAIL: Zone B, inDir WEST , Links F-BB -- 
PASS: Zone B, inDir WEST , Links B-** -- 
PASS: Zone B, inDir WEST , Links B-*F -- 
PASS: Zone B, inDir WEST , Links B-*B -- 
PASS: Zone B, inDir WEST , Links B-F* -- 
PASS: Zone B, inDir WEST , Links B-FF -- 
PASS: Zone B, inDir WEST , Links B-FB -- 
PASS: Zone B, inDir WEST , Links B-B* -- 
PASS: Zone B, inDir WEST , Links B-BF -- 
PASS: Zone B, inDir WEST , Links B-BB -- 
PASS: Zone C, inDir NORTH, Links *-** -- 
PASS: Zone C, inDir NORTH, Links *-*F -- 
PASS: Zone C, inDir NORTH, Links *-*B -- 
PASS: Zone C, inDir NORTH, Links *-F* -- 
PASS: Zone C, inDir NORTH, Links *-FF -- 
PASS: Zone C, inDir NORTH, Links *-FB -- 
PASS: Zone C, inDir NORTH, Links *-B* -- 
PASS: Zone C, inDir NORTH, Links *-BF -- 
PASS: Zone C, inDir NORTH, Links *-BB -- 
PASS: Zone C, inDir NORTH, Links F-** -- 
PASS: Zone C, inDir NORTH, Links F-*F -- 
PASS: Zone C, inDir NORTH, Links F-*B -- 
PASS: Zone C, inDir NORTH, Links F-F* -- 
PASS: Zone C, inDir NORTH, Links F-FF -- 
PASS: Zone C, inDir NORTH, Links F-FB -- 
PASS: Zone C, inDir NORTH, Links F-B* -- 
PASS: Zone C, inDir NORTH, Links F-BF -- 
PASS: Zone C, inDir NORTH, Links F-BB -- 
PASS: Zone C, inDir NORTH, Links B-** -- 
PASS: Zone C, inDir NORTH, Links B-*F -- 
PASS: Zone C, inDir NORTH, Links B-*B -- 
PASS: Zone C, inDir NORTH, Links B-F* -- 
PASS: Zone C, inDir NORTH, Links B-FF -- 
PASS: Zone C, inDir NORTH, Links B-FB -- 
PASS: Zone C, inDir NORTH, Links B-B* -- 
PASS: Zone C, inDir NORTH, Links B-BF -- 
