180 Total Scenarios Tested.
180 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone P, inDir EAST , Links -B*- -- 
PASS: Zone P, inDir EAST , Links -BF- NE 
PASS: Zone P, inDir EAST , Links -BF- -- 
PASS: Zone P, inDir EAST , Links -BB- NE 
PASS: Zone P, inDir EAST , Links -BB- -- 
PASS: Zone P, inDir WEST , Links -**- NE 
PASS: Zone P, inDir WEST , Links -**- -- 
PASS: Zone P, inDir WEST , Links -*F- NE 
PASS: Zone P, inDir WEST , Links -*F- -- 
PASS: Zone P, inDir WEST , Links -*B- NE 
PASS: Zone P, inDir WEST , Links -*B- -- 
PASS: Zone P, inDir WEST , Links -F*- NE 
PASS: Zone P, inDir WEST , Links -F*- -- 
PASS: Zone P, inDir WEST , Links -FF- NE 
PASS: Zone P, inDir WEST , Links -FF- -- 
PASS: Zone P, inDir WEST , Links -FB- NE 
PASS: Zone P, inDir WEST , Links -FB- -- 
PASS: Zone P, inDir WEST , Links -B*- NE 
PASS: Zone P, inDir WEST , Links -B*- -- 
PASS: Zone P, inDir WEST , Links -BF- NE 
PASS: Zone P, inDir WEST , Links -BF- -- 
PASS: Zone P, inDir WEST , Links -BB- NE 
PASS: Zone P, inDir WEST , Links -BB- -- 
PASS: Zone R, inDir EAST , Links -**- NE 
PASS: Zone R, inDir EAST , Links -**- -- 
PASS: Zone R, inDir EAST , Links -*F- NE 
PASS: Zone R, inDir EAST , Links -*F- -- 
PASS: Zone R, inDir EAST , Links -*B- NE 
PASS: Zone R, inDir EAST , Links -*B- -- 
PASS: Zone R, inDir EAST , Links -F*- NE 
PASS: Zone R, inDir EAST , Links -F*- -- 
PASS: Zone R, inDir EAST , Links -FF- NE 
PASS: Zone R, inDir EAST , Links -FF- -- 
PASS: Zone R, inDir EAST , Links -FB- NE 
PASS: Zone R, inDir EAST , Links -FB- -- 
PASS: Zone R, inDir EAST , Links -B*- NE 
PASS: Zone R, inDir EAST , Links -B*- -- 
PASS: Zone R, inDir EAST , Links -BF- NE 
PASS: Zone R, inDir EAST , Links -BF- -- 
PASS: Zone R, inDir EAST , Links -BB- NE 
PASS: Zone R, inDir EAST , Links -BB- -- 
PASS: Zone R, inDir WEST , Links -**- NE 
PASS: Zone R, inDir WEST , Links -**- -- 
PASS: Zone R, inDir WEST , Links -*F- NE 
PASS: Zone R, inDir WEST , Links -*F- -- 
PASS: Zone R, inDir WEST , Links -*B- NE 
PASS: Zone R, inDir WEST , Links -*B- -- 
PASS: Zone R, inDir WEST , Links -F*- NE 
PASS: Zone R, inDir WEST , Links -F*- -- 
PASS: Zone R, inDir WEST , Links -FF- NE 
PASS: Zone R, inDir WEST , Links -FF- -- 
PASS: Zone R, inDir WEST , Links -FB- NE 
PASS: Zone R, inDir WEST , Links -FB- -- 
PASS: Zone R, inDir WEST , Links -B*- NE 
PASS: Zone R, inDir WEST , Links -B*- -- 
PASS: Zone R, inDir WEST , Links -BF- NE 
PASS: Zone R, inDir WEST , Links -BF- -- 
PASS: Zone R, inDir WEST , Links -BB- NE 
PASS: Zone R, inDir WEST , Links -BB- -- 



.
