324 Total Scenarios Tested.
324 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone I, inDir NORTH, Links FB-- -- 
PASS: Zone I, inDir NORTH, Links B*-- NE 
PASS: Zone I, inDir NORTH, Links B*-- -- 
PASS: Zone I, inDir NORTH, Links BF-- NE 
PASS: Zone I, inDir NORTH, Links BF-- -- 
PASS: Zone I, inDir NORTH, Links BB-- NE 
PASS: Zone I, inDir NORTH, Links BB-- -- 
PASS: Zone I, inDir EAST , Links **-- NE 
PASS: Zone I, inDir EAST , Links **-- -- 
PASS: Zone I, inDir EAST , Links *F-- NE 
PASS: Zone I, inDir EAST , Links *F-- -- 
PASS: Zone I, inDir EAST , Links *B-- NE 
PASS: Zone I, inDir EAST , Links *B-- -- 
PASS: Zone I, inDir EAST , Links F*-- NE 
PASS: Zone I, inDir EAST , Links F*-- -- 
PASS: Zone I, inDir EAST , Links FF-- NE 
PASS: Zone I, inDir EAST , Links FF-- -- 
PASS: Zone I, inDir EAST , Links FB-- NE 
PASS: Zone I, inDir EAST , Links FB-- -- 
PASS: Zone I, inDir EAST , Links B*-- NE 
PASS: Zone I, inDir EAST , Links B*-- -- 
PASS: Zone I, inDir EAST , Links BF-- NE 
PASS: Zone I, inDir EAST , Links BF-- -- 
PASS: Zone I, inDir EAST , Links BB-- NE 
PASS: Zone I, inDir EAST , Links BB-- -- 
PASS: Zone J, inDir NORTH, Links **-- NE 
PASS: Zone J, inDir NORTH, Links **-- -- 
PASS: Zone J, inDir NORTH, Links *F-- NE 
PASS: Zone J, inDir NORTH, Links *F-- -- 
PASS: Zone J, inDir NORTH, Links *B-- NE 
PASS: Zone J, inDir NORTH, Links *B-- -- 
PASS: Zone J, inDir NORTH, Links F*-- NE 
PASS: Zone J, inDir NORTH, Links F*-- -- 
PASS: Zone J, inDir NORTH, Links FF-- NE 
PASS: Zone J, inDir NORTH, Links FF-- -- 
PASS: Zone J, inDir NORTH, Links FB-- NE 
PASS: Zone J, inDir NORTH, Links FB-- -- 
PASS: Zone J, inDir NORTH, Links B*-- NE 
PASS: Zone J, inDir NORTH, Links B*-- -- 
PASS: Zone J, inDir NORTH, Links BF-- NE 
PASS: Zone J, inDir NORTH, Links BF-- -- 
PASS: Zone J, inDir NORTH, Links BB-- NE 
PASS: Zone J, inDir NORTH, Links BB-- -- 
PASS: Zone J, inDir EAST , Links **-- NE 
PASS: Zone J, inDir EAST , Links **-- -- 
PASS: Zone J, inDir EAST , Links *F-- NE 
PASS: Zone J, inDir EAST , Links *F-- -- 
PASS: Zone J, inDir EAST , Links *B-- NE 
PASS: Zone J, inDir EAST , Links *B-- -- 
PASS: Zone J, inDir EAST , Links F*-- NE 
PASS: Zone J, inDir EAST , Links F*-- -- 
PASS: Zone J, inDir EAST , Links FF-- NE 
PASS: Zone J, inDir EAST , Links FF-- -- 
PASS: Zone J, inDir EAST , Links FB-- NE 
PASS: Zone J, inDir EAST , Links FB-- -- 
PASS: Zone J, inDir EAST , Links B*-- NE 
PASS: Zone J, inDir EAST , Links B*-- -- 
PASS: Zone J, inDir EAST , Links BF-- NE 
PASS: Zone J, inDir EAST , Links BF-- -- 
PASS: Zone J, inDir EAST , Links BB-- NE 
PASS: Zone J, inDir EAST , Links BB-- -- 
PASS: Zone M, inDir NORTH, Links **-- NE 
PASS: Zone M, inDir NORTH, Links **-- -- 
PASS: Zone M, inDir NORTH, Links *F-- NE 
