1782 Total Scenarios Tested.
1782 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone F, inDir NORTH, Links B*-* NE 
PASS: Zone F, inDir NORTH, Links B*-* -- 
PASS: Zone F, inDir NORTH, Links B*-F NE 
PASS: Zone F, inDir NORTH, Links B*-F -- 
PASS: Zone F, inDir NORTH, Links B*-B NE 
PASS: Zone F, inDir NORTH, Links B*-B -- 
PASS: Zone F, inDir NORTH, Links BF-* NE 
PASS: Zone F, inDir NORTH, Links BF-* -- 
PASS: Zone F, inDir NORTH, Links BF-F NE 
PASS: Zone F, inDir NORTH, Links BF-F -- 
PASS: Zone F, inDir NORTH, Links BF-B NE 
PASS: Zone F, inDir NORTH, Links BF-B -- 
PASS: Zone F, inDir NORTH, Links BB-* NE 
PASS: Zone F, inDir NORTH, Links BB-* -- 
PASS: Zone F, inDir NORTH, Links BB-F NE 
PASS: Zone F, inDir NORTH, Links BB-F -- 
PASS: Zone F, inDir NORTH, Links BB-B NE 
PASS: Zone F, inDir NORTH, Links BB-B -- 
PASS: Zone F, inDir EAST , Links **-* NE 
PASS: Zone F, inDir EAST , Links **-* -- 
PASS: Zone F, inDir EAST , Links **-F NE 
PASS: Zone F, inDir EAST , Links **-F -- 
PASS: Zone F, inDir EAST , Links **-B NE 
PASS: Zone F, inDir EAST , Links **-B -- 
PASS: Zone F, inDir EAST , Links *F-* NE 
PASS: Zone F, inDir EAST , Links *F-* -- 
PASS: Zone F, inDir EAST , Links *F-F NE 
PASS: Zone F, inDir EAST , Links *F-F -- 
PASS: Zone F, inDir EAST , Links *F-B NE 
PASS: Zone F, inDir EAST , Links *F-B -- 
PASS: Zone F, inDir EAST , Links *B-* NE 
PASS: Zone F, inDir EAST , Links *B-* -- 
PASS: Zone F, inDir EAST , Links *B-F NE 
PASS: Zone F, inDir EAST , Links *B-F -- 
PASS: Zone F, inDir EAST , Links *B-B NE 
PASS: Zone F, inDir EAST , Links *B-B -- 
PASS: Zone F, inDir EAST , Links F*-* NE 
PASS: Zone F, inDir EAST , Links F*-* -- 
PASS: Zone F, inDir EAST , Links F*-F NE 
PASS: Zone F, inDir EAST , Links F*-F -- 
PASS: Zone F, inDir EAST , Links F*-B NE 
PASS: Zone F, inDir EAST , Links F*-B -- 
PASS: Zone F, inDir EAST , Links FF-* NE 
PASS: Zone F, inDir EAST , Links FF-* -- 
PASS: Zone F, inDir EAST , Links FF-F NE 
PASS: Zone F, inDir EAST , Links FF-F -- 
PASS: Zone F, inDir EAST , Links FF-B NE 
PASS: Zone F, inDir EAST , Links FF-B -- 
PASS: Zone F, inDir EAST , Links FB-* NE 
PASS: Zone F, inDir EAST , Links FB-* -- 
PASS: Zone F, inDir EAST , Links FB-F NE 
PASS: Zone F, inDir EAST , Links FB-F -- 
PASS: Zone F, inDir EAST , Links FB-B NE 
PASS: Zone F, inDir EAST , Links FB-B -- 
PASS: Zone F, inDir EAST , Links B*-* NE 
PASS: Zone F, inDir EAST , Links B*-* -- 
PASS: Zone F, inDir EAST , Links B*-F NE 
PASS: Zone F, inDir EAST , Links B*-F -- 
PASS: Zone F, inDir EAST , Links B*-B NE 
PASS: Zone F, inDir EAST , Links B*-B -- 
PASS: Zone F, inDir EAST , Links BF-* NE 
PASS: Zone F, inDir EAST , Links BF-* -- 
PASS: Zone F, inDir EAST , Links BF-F NE 
PASS: Zone F, inDir EAST , Links BF-F -- 
PASS: Zone F, inDir EAST , Links BF-B NE 
PASS: Zone F, inDir EAST , Links BF-B -- 
PASS: Zone F, inDir EAST , Links BB-* NE 
PASS: Zone F, inDir EAST , Links BB-* -- 
PASS: Zone F, inDir EAST , Links BB-F NE 
PASS: Zone F, inDir EAST , Links BB-F -- 
PASS: Zone F, inDir EAST , Links BB-B NE 
PASS: Zone F, inDir EAST , Links BB-B -- 
PASS: Zone F, inDir SOUTH, Links **-* NE 
PASS: Zone F, inDir SOUTH, Links **-* -- 
PASS: Zone F, inDir SOUTH, Links **-F NE 
PASS: Zone F, inDir SOUTH, Links **-F -- 
PASS: Zone F, inDir SOUTH, Links **-B NE 
PASS: Zone F, inDir SOUTH, Links **-B -- 
PASS: Zone F, inDir SOUTH, Links *F-* NE 
PASS: Zone F, inDir SOUTH, Links *F-* -- 
PASS: Zone F, inDir SOUTH, Links *F-F NE 
PASS: Zone F, inDir SOUTH, Links *F-F -- 
PASS: Zone F, inDir SOUTH, Links *F-B NE 
PASS: Zone F, inDir SOUTH, Links *F-B -- 
