1782 Total Scenarios Tested.
1782 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone D, inDir EAST , Links FF*- -- 
PASS: Zone D, inDir EAST , Links FFF- -- 
PASS: Zone D, inDir EAST , Links FFB- -- 
PASS: Zone D, inDir EAST , Links FB*- -- 
PASS: Zone D, inDir EAST , Links FBF- -- 
PASS: Zone D, inDir EAST , Links FBB- -- 
PASS: Zone D, inDir EAST , Links B**- -- 
PASS: Zone D, inDir EAST , Links B*F- -- 
PASS: Zone D, inDir EAST , Links B*B- -- 
PASS: Zone D, inDir EAST , Links BF*- -- 
PASS: Zone D, inDir EAST , Links BFF- -- 
PASS: Zone D, inDir EAST , Links BFB- -- 
PASS: Zone D, inDir EAST , Links BB*- -- 
PASS: Zone D, inDir EAST , Links BBF- -- 
PASS: Zone D, inDir EAST , Links BBB- -- 
PASS: Zone D, inDir WEST , Links ***- -- 
PASS: Zone D, inDir WEST , Links **F- -- 
PASS: Zone D, inDir WEST , Links **B- -- 
PASS: Zone D, inDir WEST , Links *F*- -- 
PASS: Zone D, inDir WEST , Links *FF- -- 
PASS: Zone D, inDir WEST , Links *FB- -- 
PASS: Zone D, inDir WEST , Links *B*- -- 
PASS: Zone D, inDir WEST , Links *BF- -- 
PASS: Zone D, inDir WEST , Links *BB- -- 
PASS: Zone D, inDir WEST , Links F**- -- 
PASS: Zone D, inDir WEST , Links F*F- -- 
PASS: Zone D, inDir WEST , Links F*B- -- 
PASS: Zone D, inDir WEST , Links FF*- -- 
PASS: Zone D, inDir WEST , Links FFF- -- 
PASS: Zone D, inDir WEST , Links FFB- -- 
PASS: Zone D, inDir WEST , Links FB*- -- 
PASS: Zone D, inDir WEST , Links FBF- -- 
PASS: Zone D, inDir WEST , Links FBB- -- 
PASS: Zone D, inDir WEST , Links B**- -- 
PASS: Zone D, inDir WEST , Links B*F- -- 
PASS: Zone D, inDir WEST , Links B*B- -- 
PASS: Zone D, inDir WEST , Links BF*- -- 
PASS: Zone D, inDir WEST , Links BFF- -- 
PASS: Zone D, inDir WEST , Links BFB- -- 
PASS: Zone D, inDir WEST , Links BB*- -- 
PASS: Zone D, inDir WEST , Links BBF- -- 
PASS: Zone D, inDir WEST , Links BBB- -- 
PASS: Zone E, inDir NORTH, Links ***- -- 
PASS: Zone E, inDir NORTH, Links **F- -- 
PASS: Zone E, inDir NORTH, Links **B- -- 
PASS: Zone E, inDir NORTH, Links *F*- -- 
PASS: Zone E, inDir NORTH, Links *FF- -- 
PASS: Zone E, inDir NORTH, Links *FB- -- 
PASS: Zone E, inDir NORTH, Links *B*- -- 
PASS: Zone E, inDir NORTH, Links *BF- -- 
PASS: Zone E, inDir NORTH, Links *BB- -- 
PASS: Zone E, inDir NORTH, Links F**- -- 
PASS: Zone E, inDir NORTH, Links F*F- -- 
PASS: Zone E, inDir NORTH, Links F*B- -- 
PASS: Zone E, inDir NORTH, Links FF*- -- 
PASS: Zone E, inDir NORTH, Links FFF- -- 
PASS: Zone E, inDir NORTH, Links FFB- -- 
PASS: Zone E, inDir NORTH, Links FB*- -- 
PASS: Zone E, inDir NORTH, Links FBF- -- 
PASS: Zone E, inDir NORTH, Links FBB- -- 
PASS: Zone E, inDir NORTH, Links B**- -- 
PASS: Zone E, inDir NORTH, Links B*F- -- 
PASS: Zone E, inDir NORTH, Links B*B- -- 
PASS: Zone E, inDir NORTH, Links BF*- -- 
PASS: Zone E, inDir NORTH, Links BFF- -- 
PASS: Zone E, inDir NORTH, Links BFB- -- 
PASS: Zone E, inDir NORTH, Links BB*- -- 
PASS: Zone E, inDir NORTH, Links BBF- -- 
PASS: Zone E, inDir NORTH, Links BBB- -- 
PASS: Zone E, inDir EAST , Links ***- -- 
PASS: Zone E, inDir EAST , Links **F- -- 
PASS: Zone E, inDir EAST , Links **B- -- 
PASS: Zone E, inDir EAST , Links *F*- -- 
PASS: Zone E, inDir EAST , Links *FF- -- 
PASS: Zone E, inDir EAST , Links *FB- -- 
PASS: Zone E, inDir EAST , Links *B*- -- 
PASS: Zone E, inDir EAST , Links *BF- -- 
PASS: Zone E, inDir EAST , Links *BB- -- 
PASS: Zone E, inDir EAST , Links F**- -- 
PASS: Zone E, inDir EAST , Links F*F- -- 
PASS: Zone E, inDir EAST , Links F*B- -- 
PASS: Zone E, inDir EAST , Links FF*- -- 
PASS: Zone E, inDir EAST , Links FFF- -- 
PASS: Zone E, inDir EAST , Links FFB- -- 
PASS: Zone E, inDir EAST , Links FB*- -- 
PASS: Zone E, inDir EAST , Links FBF- -- 
