180 Total Scenarios Tested.
180 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone Q, inDir NORTH, Links F--B NE 
PASS: Zone Q, inDir NORTH, Links F--B -- 
PASS: Zone Q, inDir NORTH, Links B--* NE 
PASS: Zone Q, inDir NORTH, Links B--* -- 
PASS: Zone Q, inDir NORTH, Links B--F NE 
PASS: Zone Q, inDir NORTH, Links B--F -- 
PASS: Zone Q, inDir NORTH, Links B--B NE 
PASS: Zone Q, inDir NORTH, Links B--B -- 
PASS: Zone Q, inDir SOUTH, Links *--* NE 
PASS: Zone Q, inDir SOUTH, Links *--* -- 
PASS: Zone Q, inDir SOUTH, Links *--F NE 
PASS: Zone Q, inDir SOUTH, Links *--F -- 
PASS: Zone Q, inDir SOUTH, Links *--B NE 
PASS: Zone Q, inDir SOUTH, Links *--B -- 
PASS: Zone Q, inDir SOUTH, Links F--* NE 
PASS: Zone Q, inDir SOUTH, Links F--* -- 
PASS: Zone Q, inDir SOUTH, Links F--F NE 
PASS: Zone Q, inDir SOUTH, Links F--F -- 
PASS: Zone Q, inDir SOUTH, Links F--B NE 
PASS: Zone Q, inDir SOUTH, Links F--B -- 
PASS: Zone Q, inDir SOUTH, Links B--* NE 
PASS: Zone Q, inDir SOUTH, Links B--* -- 
PASS: Zone Q, inDir SOUTH, Links B--F NE 
PASS: Zone Q, inDir SOUTH, Links B--F -- 
PASS: Zone Q, inDir SOUTH, Links B--B NE 
PASS: Zone Q, inDir SOUTH, Links B--B -- 
PASS: Zone R, inDir NORTH, Links *--* NE 
PASS: Zone R, inDir NORTH, Links *--* -- 
PASS: Zone R, inDir NORTH, Links *--F NE 
PASS: Zone R, inDir NORTH, Links *--F -- 
PASS: Zone R, inDir NORTH, Links *--B NE 
PASS: Zone R, inDir NORTH, Links *--B -- 
PASS: Zone R, inDir NORTH, Links F--* NE 
PASS: Zone R, inDir NORTH, Links F--* -- 
PASS: Zone R, inDir NORTH, Links F--F NE 
PASS: Zone R, inDir NORTH, Links F--F -- 
PASS: Zone R, inDir NORTH, Links F--B NE 
PASS: Zone R, inDir NORTH, Links F--B -- 
PASS: Zone R, inDir NORTH, Links B--* NE 
PASS: Zone R, inDir NORTH, Links B--* -- 
PASS: Zone R, inDir NORTH, Links B--F NE 
PASS: Zone R, inDir NORTH, Links B--F -- 
PASS: Zone R, inDir NORTH, Links B--B NE 
PASS: Zone R, inDir NORTH, Links B--B -- 
PASS: Zone R, inDir SOUTH, Links *--* NE 
PASS: Zone R, inDir SOUTH, Links *--* -- 
PASS: Zone R, inDir SOUTH, Links *--F NE 
PASS: Zone R, inDir SOUTH, Links *--F -- 
PASS: Zone R, inDir SOUTH, Links *--B NE 
PASS: Zone R, inDir SOUTH, Links *--B -- 
PASS: Zone R, inDir SOUTH, Links F--* NE 
PASS: Zone R, inDir SOUTH, Links F--* -- 
PASS: Zone R, inDir SOUTH, Links F--F NE 
PASS: Zone R, inDir SOUTH, Links F--F -- 
PASS: Zone R, inDir SOUTH, Links F--B NE 
PASS: Zone R, inDir SOUTH, Links F--B -- 
PASS: Zone R, inDir SOUTH, Links B--* NE 
PASS: Zone R, inDir SOUTH, Links B--* -- 
PASS: Zone R, inDir SOUTH, Links B--F NE 
PASS: Zone R, inDir SOUTH, Links B--F -- 
PASS: Zone R, inDir SOUTH, Links B--B NE 
PASS: Zone R, inDir SOUTH, Links B--B -- 



.
