1053 Total Scenarios Tested.
1053 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone B, inDir SOUTH, Links -F*B -- 
PASS: Zone B, inDir SOUTH, Links -FF* -- 
PASS: Zone B, inDir SOUTH, Links -FFF -- 
PASS: Zone B, inDir SOUTH, Links -FFB -- 
PASS: Zone B, inDir SOUTH, Links -FB* -- 
PASS: Zone B, inDir SOUTH, Links -FBF -- 
PASS: Zone B, inDir SOUTH, Links -FBB -- 
PASS: Zone B, inDir SOUTH, Links -B** -- 
PASS: Zone B, inDir SOUTH, Links -B*F -- 
PASS: Zone B, inDir SOUTH, Links -B*B -- 
PASS: Zone B, inDir SOUTH, Links -BF* -- 
PASS: Zone B, inDir SOUTH, Links -BFF -- 
PASS: Zone B, inDir SOUTH, Links -BFB -- 
PASS: Zone B, inDir SOUTH, Links -BB* -- 
PASS: Zone B, inDir SOUTH, Links -BBF -- 
PASS: Zone B, inDir SOUTH, Links -BBB -- 
PASS: Zone B, inDir WEST , Links -*** -- 
PASS: Zone B, inDir WEST , Links -**F -- 
PASS: Zone B, inDir WEST , Links -**B -- 
PASS: Zone B, inDir WEST , Links -*F* -- 
PASS: Zone B, inDir WEST , Links -*FF -- 
PASS: Zone B, inDir WEST , Links -*FB -- 
PASS: Zone B, inDir WEST , Links -*B* -- 
PASS: Zone B, inDir WEST , Links -*BF -- 
PASS: Zone B, inDir WEST , Links -*BB -- 
PASS: Zone B, inDir WEST , Links -F** -- 
PASS: Zone B, inDir WEST , Links -F*F -- 
PASS: Zone B, inDir WEST , Links -F*B -- 
PASS: Zone B, inDir WEST , Links -FF* -- 
PASS: Zone B, inDir WEST , Links -FFF -- 
PASS: Zone B, inDir WEST , Links -FFB -- 
PASS: Zone B, inDir WEST , Links -FB* -- 
PASS: Zone B, inDir WEST , Links -FBF -- 
PASS: Zone B, inDir WEST , Links -FBB -- 
PASS: Zone B, inDir WEST , Links -B** -- 
PASS: Zone B, inDir WEST , Links -B*F -- 
PASS: Zone B, inDir WEST , Links -B*B -- 
PASS: Zone B, inDir WEST , Links -BF* -- 
PASS: Zone B, inDir WEST , Links -BFF -- 
PASS: Zone B, inDir WEST , Links -BFB -- 
PASS: Zone B, inDir WEST , Links -BB* -- 
PASS: Zone B, inDir WEST , Links -BBF -- 
PASS: Zone B, inDir WEST , Links -BBB -- 
PASS: Zone C, inDir EAST , Links -*** -- 
PASS: Zone C, inDir EAST , Links -**F -- 
PASS: Zone C, inDir EAST , Links -**B -- 
PASS: Zone C, inDir EAST , Links -*F* -- 
PASS: Zone C, inDir EAST , Links -*FF -- 
PASS: Zone C, inDir EAST , Links -*FB -- 
PASS: Zone C, inDir EAST , Links -*B* -- 
PASS: Zone C, inDir EAST , Links -*BF -- 
PASS: Zone C, inDir EAST , Links -*BB -- 
PASS: Zone C, inDir EAST , Links -F** -- 
PASS: Zone C, inDir EAST , Links -F*F -- 
PASS: Zone C, inDir EAST , Links -F*B -- 
PASS: Zone C, inDir EAST , Links -FF* -- 
PASS: Zone C, inDir EAST , Links -FFF -- 
PASS: Zone C, inDir EAST , Links -FFB -- 
PASS: Zone C, inDir EAST , Links -FB* -- 
PASS: Zone C, inDir EAST , Links -FBF -- 
PASS: Zone C, inDir EAST , Links -FBB -- 
PASS: Zone C, inDir EAST , Links -B** -- 
PASS: Zone C, inDir EAST , Links -B*F -- 
PASS: Zone C, inDir EAST , Links -B*B -- 
PASS: Zone C, inDir EAST , Links -BF* -- 
PASS: Zone C, inDir EAST , Links -BFF -- 
PASS: Zone C, inDir EAST , Links -BFB -- 
PASS: Zone C, inDir EAST , Links -BB* -- 
PASS: Zone C, inDir EAST , Links -BBF -- 
PASS: Zone C, inDir EAST , Links -BBB -- 
PASS: Zone C, inDir SOUTH, Links -*** -- 
PASS: Zone C, inDir SOUTH, Links -**F -- 
PASS: Zone C, inDir SOUTH, Links -**B -- 
PASS: Zone C, inDir SOUTH, Links -*F* -- 
PASS: Zone C, inDir SOUTH, Links -*FF -- 
PASS: Zone C, inDir SOUTH, Links -*FB -- 
PASS: Zone C, inDir SOUTH, Links -*B* -- 
PASS: Zone C, inDir SOUTH, Links -*BF -- 
PASS: Zone C, inDir SOUTH, Links -*BB -- 
PASS: Zone C, inDir SOUTH, Links -F** -- 
PASS: Zone C, inDir SOUTH, Links -F*F -- 
PASS: Zone C, inDir SOUTH, Links -F*B -- 
PASS: Zone C, inDir SOUTH, Links -FF* -- 
PASS: Zone C, inDir SOUTH, Links -FFF -- 
PASS: Zone C, inDir SOUTH, Links -FFB -- 
PASS: Zone C, inDir SOUTH, Links -FB* -- 
PASS: Zone C, inDir SOUTH, Links -FBF -- 
PASS: Zone C, inDir SOUTH, Links -FBB -- 
PASS: Zone C, inDir SOUTH, Links -B** -- 
PASS: Zone C, inDir SOUTH, Links -B*F -- 
PASS: Zone C, inDir SOUTH, Links -B*B -- 
PASS: Zone C, inDir SOUTH, Links -BF* -- 
PASS: Zone C, inDir SOUTH, Links -BFF -- 
PASS: Zone C, inDir SOUTH, Links -BFB -- 
PASS: Zone C, inDir SOUTH, Links -BB* -- 
PASS: Zone C, inDir SOUTH, Links -BBF -- 
PASS: Zone C, inDir SOUTH, Links -BBB -- 
PASS: Zone C, inDir WEST , Links -*** -- 
PASS: Zone C, inDir WEST , Links -**F -- 
PASS: Zone C, inDir WEST , Links -**B -- 
PASS: Zone C, inDir WEST , Links -*F* -- 
PASS: Zone C, inDir WEST , Links -*FF -- 
PASS: Zone C, inDir WEST , Links -*FB -- 
PASS: Zone C, inDir WEST , Links -*B* -- 
PASS: Zone C, inDir WEST , Links -*BF -- 
PASS: Zone C, inDir WEST , Links -*BB -- 
PASS: Zone C, inDir WEST , Links -F** -- 
PASS: Zone C, inDir WEST , Links -F*F -- 
PASS: Zone C, inDir WEST , Links -F*B -- 
PASS: Zone C, inDir WEST , Links -FF* -- 
PASS: Zone C, inDir WEST , Links -FFF -- 
PASS: Zone C, inDir WEST , Links -FFB -- 
PASS: Zone C, inDir WEST , Links -FB* -- 
PASS: Zone C, inDir WEST , Links -FBF -- 
PASS: Zone C, inDir WEST , Links -FBB -- 
PASS: Zone C, inDir WEST , Links -B** -- 
PASS: Zone C, inDir WEST , Links -B*F -- 
PASS: Zone C, inDir WEST , Links -B*B -- 
PASS: Zone C, inDir WEST , Links -BF* -- 
PASS: Zone C, inDir WEST , Links -BFF -- 
PASS: Zone C, inDir WEST , Links -BFB -- 
PASS: Zone C, inDir WEST , Links -BB* -- 
PASS: Zone C, inDir WEST , Links -BBF -- 
PASS: Zone C, inDir WEST , Links -BBB -- 
PASS: Zone D, inDir EAST , Links -*** -- 
PASS: Zone D, inDir EAST , Links -**F -- 
PASS: Zone D, inDir EAST , Links -**B -- 
PASS: Zone D, inDir EAST , Links -*F* -- 
PASS: Zone D, inDir EAST , Links -*FF -- 
PASS: Zone D, inDir EAST , Links -*FB -- 
PASS: Zone D, inDir EAST , Links -*B* -- 
PASS: Zone D, inDir EAST , Links -*BF -- 
PASS: Zone D, inDir EAST , Links -*BB -- 
PASS: Zone D, inDir EAST , Links -F** -- 
PASS: Zone D, inDir EAST , Links -F*F -- 
PASS: Zone D, inDir EAST , Links -F*B -- 
PASS: Zone D, inDir EAST , Links -FF* -- 
PASS: Zone D, inDir EAST , Links -FFF -- 
PASS: Zone D, inDir EAST , Links -FFB -- 
PASS: Zone D, inDir EAST , Links -FB* -- 
PASS: Zone D, inDir EAST , Links -FBF -- 
PASS: Zone D, inDir EAST , Links -FBB -- 
PASS: Zone D, inDir EAST , Links -B** -- 
PASS: Zone D, inDir EAST , Links -B*F -- 
PASS: Zone D, inDir EAST , Links -B*B -- 
PASS: Zone D, inDir EAST , Links -BF* -- 
PASS: Zone D, inDir EAST , Links -BFF -- 
PASS: Zone D, inDir EAST , Links -BFB -- 
PASS: Zone D, inDir EAST , Links -BB* -- 
PASS: Zone D, inDir EAST , Links -BBF -- 
PASS: Zone D, inDir EAST , Links -BBB -- 
PASS: Zone D, inDir SOUTH, Links -*** -- 
PASS: Zone D, inDir SOUTH, Links -**F -- 
PASS: Zone D, inDir SOUTH, Links -**B -- 
PASS: Zone D, inDir SOUTH, Links -*F* -- 
PASS: Zone D, inDir SOUTH, Links -*FF -- 
PASS: Zone D, inDir SOUTH, Links -*FB -- 
PASS: Zone D, inDir SOUTH, Links -*B* -- 
PASS: Zone D, inDir SOUTH, Links -*BF -- 
PASS: Zone D, inDir SOUTH, Links -*BB -- 
PASS: Zone D, inDir SOUTH, Links -F** -- 
PASS: Zone D, inDir SOUTH, Links -F*F -- 
PASS: Zone D, inDir SOUTH, Links -F*B -- 
PASS: Zone D, inDir SOUTH, Links -FF* -- 
PASS: Zone D, inDir SOUTH, Links -FFF -- 
PASS: Zone D, inDir SOUTH, Links -FFB -- 
PASS: Zone D, inDir SOUTH, Links -FB* -- 
PASS: Zone D, inDir SOUTH, Links -FBF -- 
PASS: Zone D, inDir SOUTH, Links -FBB -- 
PASS: Zone D, inDir SOUTH, Links -B** -- 
PASS: Zone D, inDir SOUTH, Links -B*F -- 
PASS: Zone D, inDir SOUTH, Links -B*B -- 
PASS: Zone D, inDir SOUTH, Links -BF* -- 
PASS: Zone D, inDir SOUTH, Links -BFF -- 
PASS: Zone D, inDir SOUTH, Links -BFB -- 
PASS: Zone D, inDir SOUTH, Links -BB* -- 
