8748 Total Scenarios Tested.
8748 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone A, inDir EAST , Links FF*B -- 
PASS: Zone A, inDir EAST , Links FFF* -- 
PASS: Zone A, inDir EAST , Links FFFF -- 
PASS: Zone A, inDir EAST , Links FFFB -- 
PASS: Zone A, inDir EAST , Links FFB* -- 
PASS: Zone A, inDir EAST , Links FFBF -- 
PASS: Zone A, inDir EAST , Links FFBB -- 
PASS: Zone A, inDir EAST , Links FB** -- 
PASS: Zone A, inDir EAST , Links FB*F -- 
PASS: Zone A, inDir EAST , Links FB*B -- 
PASS: Zone A, inDir EAST , Links FBF* -- 
PASS: Zone A, inDir EAST , Links FBFF -- 
PASS: Zone A, inDir EAST , Links FBFB -- 
PASS: Zone A, inDir EAST , Links FBB* -- 
PASS: Zone A, inDir EAST , Links FBBF -- 
PASS: Zone A, inDir EAST , Links FBBB -- 
PASS: Zone A, inDir EAST , Links B*** -- 
PASS: Zone A, inDir EAST , Links B**F -- 
PASS: Zone A, inDir EAST , Links B**B -- 
PASS: Zone A, inDir EAST , Links B*F* -- 
PASS: Zone A, inDir EAST , Links B*FF -- 
PASS: Zone A, inDir EAST , Links B*FB -- 
PASS: Zone A, inDir EAST , Links B*B* -- 
PASS: Zone A, inDir EAST , Links B*BF -- 
PASS: Zone A, inDir EAST , Links B*BB -- 
PASS: Zone A, inDir EAST , Links BF** -- 
PASS: Zone A, inDir EAST , Links BF*F -- 
PASS: Zone A, inDir EAST , Links BF*B -- 
PASS: Zone A, inDir EAST , Links BFF* -- 
PASS: Zone A, inDir EAST , Links BFFF -- 
PASS: Zone A, inDir EAST , Links BFFB -- 
PASS: Zone A, inDir EAST , Links BFB* -- 
PASS: Zone A, inDir EAST , Links BFBF -- 
PASS: Zone A, inDir EAST , Links BFBB -- 
PASS: Zone A, inDir EAST , Links BB** -- 
PASS: Zone A, inDir EAST , Links BB*F -- 
PASS: Zone A, inDir EAST , Links BB*B -- 
PASS: Zone A, inDir EAST , Links BBF* -- 
PASS: Zone A, inDir EAST , Links BBFF -- 
PASS: Zone A, inDir EAST , Links BBFB -- 
PASS: Zone A, inDir EAST , Links BBB* -- 
PASS: Zone A, inDir EAST , Links BBBF -- 
PASS: Zone A, inDir EAST , Links BBBB -- 
PASS: Zone A, inDir SOUTH, Links **** -- 
